Country,2019,2020,2021,2022,2023,2024,2025
Afghanistan,0.6842,0.5605,0.7209,0.5265,0.4873,0.4889,0.6325
Albania,0.4145,0.4006,0.1078,0.2755,0.311,0.3337,0.3732
Algeria,0.4422,0.4969,0.384,0.181,0.3519,0.5072,0.5123
Andorra,0.125,0.5,0,0,0.2222,0.2857,0.0909
Angola,0.5826,0.6215,0.5852,0.4725,0.4894,0.4936,0.5433
Antigua And Barbuda,0.1525,0.2344,0.1666,0.1409,0.186,0.2674,0.3889
Argentina,0.0207,0.0279,0.0231,0.0366,0.0821,0.089,0.0747
Armenia,0.5165,0.5647,0.3707,0.3787,0.5149,0.5946,0.5637
Australia,0.1918,0.1874,0.1427,0.1255,0.1675,0.2067,0.2293
Austria,0.0521,0.0891,0.0629,0.0697,0.0938,0.0994,0.0892
Azerbaijan,0.2543,0.2641,0.1227,0.2354,0.3599,0.2146,0.2091
Bahamas,0.0933,0.1259,0.0791,0.083,0.0838,0.1281,0.1446
Bahrain,0.1355,0.0904,0.2248,0.2841,0.1111,0.1783,0.2401
Bangladesh,0.3978,0.4034,0.2991,0.303,0.4366,0.4609,0.6145
Barbados,0.0676,0.1079,0.1293,0.0655,0.0963,0.1081,0.1846
Belarus,0.2193,0.2701,0.1681,0.2605,0.328,0.2879,0.2658
Belgium,0.0896,0.1647,0.1657,0.0873,0.0876,0.1165,0.128
Belize,0.2863,0.2331,0.2536,0.2645,0.2625,0.2948,0.3232
Benin,0.4848,0.4527,0.3205,0.4057,0.4911,0.6149,0.6458
Bhutan,0.5713,0.5356,0.4333,0.3455,0.4503,0.4946,0.5603
Bolivia,0.2417,0.2036,0.113,0.1715,0.2215,0.2893,0.2983
Bosnia And Herzegovina,0.2527,0.1601,0.2184,0.1991,0.1849,0.1164,0.1489
Botswana,0.1754,0.1926,0,0.1119,0.2381,0.3244,0.3844
Brazil,0.1848,0.2316,0.1425,0.1448,0.1194,0.1548,0.1487
Brunei,0.0476,0,0,0.0541,0.1071,0.04,0.0833
Bulgaria,0.0975,0.1252,0.184,0.1,0.1161,0.0602,0.0511
Burkina Faso,0.6232,0.6286,0.2455,0.3925,0.452,0.5803,0.7125
Burma,0.3091,0.4068,0.394,0.4615,0.4367,0.6258,0.6419
Burundi,0.7316,0.7772,0.5323,0.6952,0.6629,0.6552,0.6923
Cabo Verde,0.5266,0.4274,0.2532,0.3368,0.4155,0.5202,0.5387
Cambodia,0.3365,0.265,0.3562,0.245,0.2595,0.2832,0.3071
Cameroon,0.5797,0.5712,0.3993,0.5222,0.5862,0.5557,0.6055
Canada,0.4376,0.5267,0.5181,0.5833,0.5204,0.5635,0.531
Central African Republic,0.3745,0.4867,0.3636,0.367,0.5667,0.4846,0.426
Chad,0.7016,0.706,0.7277,0.6939,0.425,0.586,0.6163
Chile,0.1532,0.1154,0.1342,0.1375,0.1612,0.2015,0.1638
China,0.1822,0.2212,0.7909,0.3039,0.2663,0.2537,0.2021
Colombia,0.4193,0.4682,0.2775,0.3286,0.2059,0.247,0.3284
Comoros,0.5302,0.8615,0.7368,0.4348,0.3333,0.2542,0.3019
Democratic Republic Of The Congo,0.538,0.5803,0.3736,0.4393,0.4853,0.4677,0.6337
Republic Of The Congo,0.6049,0.5934,0.6382,0.3719,0.4965,0.4878,0.6475
Costa Rica,0.1866,0.2477,0.0797,0.1271,0.1609,0.1266,0.1614
Cote D'Ivoire,0.3573,0.4066,0.2533,0.2308,0.2485,0.3008,0.3679
Croatia,0.0402,0.0269,0.0465,0.0556,0.0932,0.1156,0.1475
Cuba,0.534,0.6015,0.5269,0.5651,0.4996,0.5335,0.7086
Cyprus,0.0278,0.0621,0.1509,0.0622,0.0448,0.0216,0.0255
Czech Republic,0.1241,0.2682,0.1624,0.085,0.0805,0.0796,0.0866
Denmark,0.1426,0.1758,0.3111,0.1217,0.1066,0.0925,0.1259
Djibouti,0.8535,0.6979,0.8834,0.7444,0.6837,0.6471,0.6147
Dominica,0.2683,0.3038,0.2285,0.25,0.291,0.3541,0.4289
Dominican Republic,0.5321,0.3918,0.0433,0.1575,0.3669,0.4338,0.364
Ecuador,0.3405,0.3344,0.1568,0.1751,0.2667,0.3699,0.4224
Egypt,0.3183,0.3516,0.2381,0.2311,0.2611,0.3977,0.4761
El Salvador,0.5818,0.6295,0.2063,0.4546,0.5791,0.5265,0.5822
Equatorial Guinea,0.2779,0.5918,0.7413,0.4832,0.4035,0.5507,0.6863
Eritrea,0.6539,0.6362,0.5596,0.4704,0.6197,0.4994,0.6002
Estonia,0.2481,0.3265,0.0909,0.2143,0.1622,0.0979,0.1133
Eswatini,0.0573,0.0552,0.0889,0.093,0.0784,0.3844,0.5087
Ethiopia,0.4546,0.3973,0.0752,0.2532,0.412,0.5117,0.5364
Federated States Of Micronesia,1,0,0,1,1,0,1
Fiji,0.3896,0.4444,0.5664,0.4536,0.4188,0.3525,0.3283
Finland,0.11,0.1403,0.1651,0.1307,0.2282,0.1449,0.1809
France,0.1367,0.2158,0.2221,0.1255,0.1011,0.085,0.0967
Gabon,0.4541,0.3761,0.3125,0.2165,0.2962,0.2776,0.4463
Gambia,0.723,0.6684,0.403,0.5064,0.604,0.6603,0.7529
Georgia,0.6385,0.6691,0.6304,0.4201,0.4923,0.4144,0.4557
Germany,0.093,0.1269,0.2482,0.1169,0.1084,0.1002,0.1222
Ghana,0.556,0.5701,0.1749,0.2766,0.3756,0.5559,0.6434
Great Britain And Northern Ireland,0.2105,0.2358,0.1197,0.1555,0.1469,0.1803,0.2044
Greece,0.1499,0.1858,0.1086,0.1495,0.1557,0.1016,0.093
Grenada,0.1949,0.2476,0.1963,0.1658,0.2037,0.3313,0.4373
Guatemala,0.5864,0.5236,0.0726,0.0545,0.2155,0.3084,0.3921
Guinea,0.7329,0.6379,0.6126,0.5356,0.6137,0.7025,0.669
Guinea - Bissau,0.6533,0.6636,0.625,0.6091,0.4815,0.7659,0.7517
Guyana,0.6296,0.622,0.3676,0.2842,0.3922,0.3425,0.2661
Haiti,0.6081,0.5016,0.4587,0.4712,0.4794,0.4735,0.5026
Honduras,0.6171,0.521,0.1238,0.3047,0.3379,0.4261,0.4652
Hungary,0.0885,0.1636,0.1667,0.0844,0.0729,0.0593,0.0791
Iceland,0.0944,0.1898,0.25,0.0324,0.0454,0.058,0.0543
India,0.2775,0.2726,0.1225,0.0654,0.1099,0.1632,0.2204
Indonesia,0.1246,0.1219,0.0583,0.1223,0.1095,0.2009,0.2669
Iran,0.8658,0.8588,0.6681,0.5409,0.5326,0.5554,0.6244
Iraq,0.4994,0.4524,0.3648,0.4463,0.3709,0.3344,0.3986
Ireland,0.2269,0.2607,0.4,0.2132,0.1941,0.2219,0.2512
Israel,0.0533,0.0652,0.0492,0.0227,0.033,0.0864,0.1132
Italy,0.1503,0.2082,0.1586,0.0975,0.1062,0.1089,0.1265
Jamaica,0.5659,0.5707,0.1913,0.3004,0.4029,0.4367,0.4426
Japan,0.1048,0.1043,0.0469,0.0579,0.0605,0.0576,0.0568
Jordan,0.4526,0.4444,0.3809,0.279,0.2851,0.4586,0.5663
Kazakhstan,0.4258,0.4734,0.4329,0.4402,0.4193,0.4629,0.5175
Kenya,0.4986,0.5026,0.3486,0.4202,0.5168,0.6332,0.6823
Kiribati,0.1169,0.5556,0.5,0.3043,0.2055,0.1081,0.045
North Korea,1,0,1,0,1,0,0.3333
South Korea,0.0769,0.0846,0.1803,0.1738,0.1444,0.1497,0.2473
Kuwait,0.0327,0.0501,0.1818,0.1604,0.0396,0.055,0.0606
Kyrgyzstan,0.6775,0.656,0.44,0.3785,0.4154,0.3914,0.5902
Laos,0.656,0.7057,0.8986,0.562,0.7279,0.8284,0.8435
Latvia,0.1898,0.2301,0.1591,0.0995,0.0928,0.0767,0.19
Lebanon,0.2385,0.2844,0.5221,0.394,0.3878,0.3503,0.3942
Lesotho,0.2824,0.2674,0.5,0.2222,0.2582,0.2957,0.3824
Liberia,0.7393,0.6762,0.5417,0.6273,0.7819,0.7938,0.7301
Libya,0.8905,0.809,0.2426,0.2278,0.1941,0.2464,0.3178
Liechtenstein,0,0,0.25,0.125,0,0,0
Lithuania,0.1867,0.2196,0.1591,0.1481,0.134,0.2104,0.2132
Luxembourg,0.1022,0.0741,0,0.0784,0.0422,0.1086,0.1377
Madagascar,0.0769,0.1436,0.2182,0.1324,0.1207,0.1312,0.1723
Malawi,0.3705,0.4267,0.1212,0.3854,0.3925,0.4778,0.5342
Malaysia,0.0491,0.0697,0.0721,0.0941,0.0443,0.0679,0.0792
Maldives,0.3365,0.2288,0.6667,0.2365,0.1466,0.2582,0.106
Mali,0.5589,0.5599,0.6296,0.6408,0.6016,0.609,0.5557
Malta,0.1776,0.2838,0.1667,0.1078,0.1056,0.1243,0.103
Marshall Islands,0.3077,0.4545,0,0,0.3158,0.6316,0.3571
Mauritania,0.6779,0.8015,0.8314,0.8972,0.7643,0.7007,0.6761
Mauritius,0.0659,0.0622,0.0992,0.0777,0.069,0.0627,0.0735
Mexico,0.2666,0.2316,0.0423,0.0591,0.1057,0.1387,0.2136
Moldova,0.5803,0.51,0.6637,0.4357,0.4242,0.4699,0.4476
Monaco,0.2222,0.5,0,0,0,0,0
Mongolia,0.546,0.4547,0.3957,0.3832,0.3734,0.3936,0.3128
Montenegro,0.391,0.5853,0.093,0.3403,0.4359,0.3648,0.3341
Morocco,0.2848,0.2335,0.2085,0.219,0.1592,0.1445,0.2691
Mozambique,0.1424,0.1864,0.3275,0.2048,0.2223,0.3475,0.2475
Namibia,0.066,0.052,0.1071,0.1205,0.224,0.2195,0.1654
Nauru,0.2083,0.25,0,0.6667,0.1,0,0.2414
Nepal,0.507,0.4811,0.1872,0.1985,0.3103,0.4947,0.6947
Netherlands,0.1182,0.1289,0.2528,0.1697,0.1681,0.1479,0.1742
New Zealand,0.1632,0.1447,0.1274,0.1252,0.1328,0.2279,0.2194
Nicaragua,0.6352,0.6317,0.1272,0.5081,0.656,0.5871,0.5315
Niger,0.4276,0.535,0.6139,0.4367,0.3076,0.3818,0.3823
Nigeria,0.672,0.6483,0.4378,0.258,0.2923,0.4651,0.57
North Macedonia,0.3619,0.2962,0.1231,0.2629,0.2913,0.28,0.2555
Norway,0.1735,0.1707,0.0865,0.1653,0.1796,0.1944,0.1618
Oman,0.0513,0.0632,0.1645,0.1845,0.0476,0.045,0.0314
Pakistan,0.4826,0.4562,0.3253,0.3143,0.4082,0.4565,0.5232
Palau,1,0.4,0,0.6667,1,0.6364,0.8
Panama,0.1893,0.1533,0.0829,0.1354,0.2395,0.1993,0.0651
Papua New Guinea,0.0174,0.0664,0.0345,0.0493,0.0615,0.0385,0.1057
Paraguay,0.1241,0.168,0.1333,0.1795,0.16,0.1809,0.1871
Peru,0.2539,0.2413,0.0411,0.2761,0.2423,0.213,0.209
Philippines,0.244,0.3249,0.102,0.1159,0.2393,0.2833,0.3076
Poland,0.0276,0.0891,0.1848,0.1474,0.1647,0.1099,0.1163
Portugal,0.0652,0.0975,0.1786,0.0941,0.1052,0.0791,0.0819
Qatar,0.1033,0.0828,0.1169,0.1286,0.0253,0.0467,0.0969
Romania,0.0911,0.1014,0.1703,0.1261,0.0879,0.0261,0.0841
Russia,0.1519,0.1779,0.2942,0.2618,0.3949,0.3856,0.4038
Rwanda,0.5376,0.6393,0.3496,0.6292,0.7109,0.5576,0.6471
